date,oven_id,layer_id,lamp_id,anomaly_accumulation_hour,anomaly_total_number
2022/3/7,1C0,11,6_87,5722,2
2022/3/7,1D0,12,17_47,5289,2
2022/3/7,1D0,18,58_99,5027,2
2022/3/7,1E0,14,21_55,4577,2
2022/3/7,2B0,14,49_117,4525,2
2022/3/10,1B0,3,111 _114,6811,2
2022/3/10,1B0,4,65,6045,1
2022/3/10,1B0,15,16_54_76,6323,3
2022/3/10,1B0,17,13_45_100,6353,3
2022/3/10,1E0,16,92,4424,1
2022/3/10,1E0,18,35_87,4412,2
2022/3/10,1D0,2,6_94,5930,2
2022/3/10,1D0,6,2_100,5609,2
2022/3/15,1B0,4,77_78,6148,2
2022/3/15,1B0,13,10_49_83,6557,3
2022/3/15,1C0,1,42_93,6532,2
2022/3/15,1C0,2,85_92,5891,2
2022/3/15,2B0,6,6,4107,1
2022/3/15,2B0,17,48_51,4551,2
2022/3/15,2C0,8,37_49_96_100,4622,4
2022/3/15,2E0,5,13_72,3784,2
2022/3/15,2E0,8,13_54_58,3632,3
2022/3/21,1C0,6,50_51,6456,2
2022/3/21,1C0,9,47_92,6264,2
2022/3/21,1B0,4,21,6222,1
2022/3/21,1B0,5,34_63_95,6573,3
2022/3/21,1B0,11,12_52_67,6758,3
2022/3/21,1D0,16,53_74,5290,2
2022/3/21,1D0,17,34_36,5299,2
2022/3/21,2B0,1,30_86,4962,2
2022/3/21,2C0,11,19_35_117,4624,3
2022/3/21,2E0,10,13_27_28,3660,3
2022/3/23,1C0,1,105,6052,1
2022/3/23,1B0,3,19_66_83_101,7021,4
2022/3/23,1B0,14,28_78_93,6612,3
2022/3/23,1E0,2,115,5673,1
2022/3/23,1E0,8,47_106,5209,2
2022/3/23,1E0,16,98,4664,1
2022/3/23,1D0,1,21_68,5731,2
2022/3/23,1D0,13,15_86,5599,2
2022/3/23,2C0,19,58_73_80,4489,3
2022/3/26,1C0,1,54_121,6054,2
2022/3/26,1C0,4,76_83,6622,2
2022/3/26,1C0,5,121_98,6216,2
2022/3/26,1C0,12,77_81,6329,2
2022/3/26,1B0,1,57_74,7085,3
2022/3/26,1B0,11,56_109_106,6842,3
2022/3/26,1B0,12,54_17,6771,2
2022/3/26,1B0,16,27_108_109,6661,3
2022/3/26,1D0,2,37_117,6251,2
2022/3/26,2B0,17,117_4_29,4707,3
2022/3/28,1E0,6,74_100,5454,2
2022/3/28,1E0,16,70,4763,1
2022/3/28,1D0,8,50,5420,1
2022/3/28,1E0,15,49,5684,1
2022/3/28,1C0,3,47_89,6850,2
2022/3/28,1C0,6,117_106,6610,2
2022/3/28,1C0,11,15_111,6174,2
2022/3/28,1B0,2,63_93,5727,2
2022/3/28,1B0,18,34_78_90,6581,3
2022/3/28,2E0,5,92_113,3919,2
2022/3/31,1C0,1,55_57,6157,2
2022/3/31,1C0,8,84_96,6627,2
2022/3/31,1E0,1,12_108,5779,2
2022/3/31,1E0,2,120,5827,1
2022/3/31,1D0,1,49_50_104,5894,3
2022/3/31,2B0,11,51_82,4542,2
2022/3/31,2E0,4,57_77_110_112,3970,4
2022/3/31,2D0,1,30_32_49_84,4899,4
2022/4/1,1B0,1,7_36_51,7203,3
2022/4/1,1B0,4,12_28,6445,2
2022/4/1,1E0,16,47_110,4821,2
2022/4/1,2B0,16,29,4709,1
2022/4/1,2C0,5,86_87,5000,2
2022/4/3,1B0,5,72_113,6824,2
2022/4/3,1B0,7,40_52_115,6782,3
2022/4/3,1C0,1,68_76,6194,2
2022/4/3,1C0,10,41_98,6492,2
2022/4/3,1C0,13,42,6497,1
2022/4/3,1D0,1,15_30,5921,2
2022/4/3,2B0,16,33_96,4725,2
2022/4/3,2B0,18,26_29_56,4983,3
2022/4/3,2C0,2,26_52_67,4212,3
2022/4/3,2C0,16,65_105,4776,2
2022/4/7,1B0,8,19_15_115,7096,3
2022/4/7,1B0,15,14_38_56,6889,3
2022/4/7,1D0,8,48,5544,1
2022/4/7,2B0,8,54_118,5165,2
2022/4/7,2B0,12,34_92,4939,2
2022/4/7,2B0,14,29_51_85,5109,3
2022/4/7,2C0,1,2_19,5117,2
2022/4/7,2E0,7,13_70_73_92,3961,4
2022/4/7,2E0,11,6_13_41,3459,4
2022/4/9,1C0,14,21_58,6520,2
2022/4/9,1B0,11,13_114_115,7069,3
2022/4/9,1B0,14,40_75_110,6897,3
2022/4/9,1E0,16,86,4929,1
2022/4/9,1E0,17,74_89,5166,2
2022/4/9,1E0,19,21_87,5085,2
2022/4/9,1D0,9,24_25,6189,2
2022/4/9,2B0,3,1_29,5395,2
2022/4/9,2D0,11,38_115,4578,2
2022/4/11,1C0,6,28_38,6828,2
2022/4/11,1C0,8,6_49,6788,2
2022/4/11,1B0,3,60_79_98,7393,3
2022/4/11,1B0,9,15_39,7002,2
2022/4/11,1E0,3,106_111,5900,2
2022/4/11,1E0,12,45,5366,1
2022/4/11,1D0,5,79_80,6364,2
2022/4/11,1D0,17,45_89,5687,2
2022/4/14,1B0,4,10_82,6632,2
2022/4/14,1B0,5,39_89,6996,2
2022/4/14,1D0,17,76_78,5713,2
2022/4/14,2B0,4,18_29_115,5354,4
2022/4/16,1C0,5,119_106,7178,2
2022/4/16,1C0,7,76_4,6962,2
2022/4/16,1B0,12,100_51_42,7108,3
2022/4/16,1E0,4,6_19,5754,2
2022/4/16,1E0,6,41_68,5750,2
2022/4/16,1E0,9,38,5644,1
2022/4/16,1E0,16,53,4980,1
2022/4/16,1D0,1,77_113,6110,2
2022/4/18,1C0,1,17_104,6432,2
2022/4/18,1C0,3,41_79,6874,2
2022/4/18,1C0,4,81_119,715,2
2022/4/18,1C0,11,13_116,6532,2
2022/4/18,1C0,13,89,6716,1
2022/4/18,1C0,15,81_98,6629,2
2022/4/18,1B0,8,8_41_58,7270,3
2022/4/18,1B0,14,24_67_75,7025,3
2022/4/18,1G0,13,38_91,1189,2
2022/4/18,1E0,1,47_60,6045,2
2022/4/18,1E0,11,62_83,5515,2
2022/4/18,1E0,16,46_48,5014,2
2022/4/18,1D0,2,4_32_81,6622,3
2022/4/18,1D0,12,98_113_121,6060,3
2022/4/18,2G0,8,42_57_60,4140,3
2022/4/18,2D0,11,54_119,4719,2
2022/4/20,1C0,1,75_36,6467,2
2022/4/20,1C0,2,83_113,7184,2
2022/4/20,1B0,9,62_54,7147,2
2022/4/20,1B0,15,47_87_107,7116,3
2022/4/20,1E0,5,26_53,5997,2
2022/4/20,1E0,16,23_21,5022,2
2022/4/20,1E0,19,101_106,5225,2
2022/4/20,2B0,12,66_77_75,5168,3
2022/4/20,2D0,4,102_107_45_73_71_109,5228,6
2022/4/22,1C0,1,72_89,6479,2
2022/4/22,1C0,18,49_113,6604,2
2022/4/22,1B0,1,55_64,7559,2
2022/4/22,1B0,6,19_30_43,7399,3
2022/4/22,1B0,9,1_23,7183,2
2022/4/22,1B0,16,43_83_79,7155,3
2022/4/22,1B0,18,56_66_75,7018,3
2022/4/22,1E0,13,54_108,5418,2
2022/4/22,1D0,13,72_77_100,6097,3
2022/4/22,2C0,1,14_94,5378,2
2022/4/22,2C0,6,46_47_108,5192,3
2022/4/22,2G0,10,25_26_117,4123,3
2022/4/24,1C0,2,70_76,7253,2
2022/4/24,1C0,17,6_25,6731,2
2022/4/24,1B0,2,15_95_77,6203,3
2022/4/24,1B0,3,43_6_67,7599,3
2022/4/24,1B0,4,80,6829,1
2022/4/24,1B0,17,58_17_101,7220,3
2022/4/24,1E0,14,62_23,5443,2
2022/4/24,1E0,18,14_19,5212,2
2022/4/24,1D0,6,22_25_113,6440,3
2022/4/24,2B0,9,67_72_60,5431,3
2022/4/24,2D0,7,14_94_108,5174,3
2022/4/26,1C0,14,66_26,6844,2
2022/4/26,1B0,4,112,6846,1
2022/4/26,1B0,11,20_55_60,7340,3
2022/4/26,1B0,13,36_17_66,7332,3
2022/4/26,1D0,7,110_111_120,6594,3
2022/4/26,2D0,2,86_88_93,5419,3
2022/4/26,2B0,2,18_111,5679,2
2022/4/28,1C0,2,100_114,7317,2
2022/4/28,1C0,6,69_76,7075,2
2022/4/28,1C0,10,48_89,6885,2
2022/4/28,1B0,10,60_75_93,7488,3
2022/4/28,1B0,15,15_74_104,7255,3
2022/4/28,1E0,12,47_121,5586,2
2022/4/29,1C0,11,38_24,6713,2
2022/4/29,1B0,2,15_89_113,6293,3
2022/4/29,1B0,6,27_32_63_117,7534,4
2022/4/29,1B0,8,5_53_85,7469,3
2022/4/29,1D0,2,98_102_114,6784,3
2022/4/29,1D0,17,110,5938,1
2022/4/29,2B0,19,25_78_80,5252,3
2022/4/29,2C0,8,51_89_96,5391,3
2022/4/29,2C0,17,58_65_119,5244,3
2022/4/29,2E0,12,13_33_34_35_36,3358,5
2022/5/2,1B0,1,45_71,7703,2
2022/5/2,1B0,5,68_105,7333,2
2022/5/2,1B0,12,34_40,7417,2
2022/5/2,1B0,16,81_96_110,7330,3
2022/5/2,1C0,1,109,6633,1
2022/5/2,1C0,3,15_117,7129,2
2022/5/2,1C0,4,43_74,7261,2
2022/5/2,1C0,7,30_53,7225,2
2022/5/2,1C0,8,68_97,7107,2
2022/5/2,1C0,10,67,6942,1
2022/5/2,1D0,10,89_94_109,6448,3
2022/5/2,2B0,3,2_113,5818,2
2022/5/4,1C0,11,10_23,6815,2
2022/5/4,1C0,12,20_37,7035,2
2022/5/4,1B0,10,15_37_117,7565,3
2022/5/4,1B0,15,55_77_98,7350,3
2022/5/4,1B0,17,40_102_17,7406,3
2022/5/4,1G0,1,3_88_91_93,4230,4
2022/5/4,1E0,14,21_82,5595,2
2022/5/4,2C0,1,70_93,5607,2
2022/5/4,2E0,13,13_81_85,3790,3
